# -*- tab-width: 12 -*-
IA0338
IA0339
IA0340	CID+20127
IA0341*	CID+17713
IA0342
IA0343	CID+20142
IA0344
IA0345
IA0346
IA0348SS
IA0349
IA0350
IA0351
IA0352	CID+20135
IA0353
IA0354
IA0355
IA0356*	CID+17731
IA0357
IA0358
IA0360
IA0361
IA0362
IA0363*	CID+17741
IA0365
IA0366	CID+15424
IA0367
IA0368
IA0369
IA0370
IA0371
IA0372
IA0373*	CID+17756
IA0374*	CID+17757
IA0375
IA0376*	CID+15433
IA0377
IA0378
IA0379
IA0380S
IA0381
IA0382
IA0384
IA0385
IA0387
IA0388
IA0389
IA0390*	CID+17804
IA0391
IA0392
IA0393
IA0394*	CID+13965
IA0401
IA0402
IA0403
IA0404
IA0405*	CID+16910
IA0406
IA0407*	CID+16911
IA0409
IA0410S
IA0411*	CID+17865
IA0412	CID+20151
IA0413
IA0414*	CID+16919
IA0415
IA0416
IA0417
IA0418
IA0419
IA0420
IA0421
IA0422
IA0423
IA0424
IA0425
IA0426
IA0427
IA0428
IA0429
IA0430S
IA0431*	CID+17916
IA0432
IA0433*	CID+17921
IA0434
IA0435
IA0436
IA0437
IA0438
IA0440
IA0441
IA0442
IA0443*	CID+17968
IA0444
IA0445
IA0446
IA0449*	CID+7655
IA0450
IA0451
IA0452
IA0453*	CID+17994
IA0454
IA0455
IA0456
IA0457
IA0458
IA0459
IA0460
IA0461*	CID+18026
IA0462
IA0463*	CID+18031
IA0464
IA0465
IA0466S
IA0467
IA0468*	CID+16968
IA0469	CID+20170
IA0470
IA0471
IA0472
IA0473*	CID+18061
IA0474*	CID+18062
IA0475
IA0476
IA0477
IA0478	CID+15427
IA0479
IA0482	CID+15432
IA0483
IA0484
IA0485
IA0486
IA0487
IA0488
IA0489
IA0490
IA0491
IA0492
IA0494
IA0501
IA0502
IA0503
IA0504
IA0505
IA0506
IA0507
IA0508
IA0509
IA0510
IA0511*	CID+15436
IA0512
IA0513
IA0514
IA0516
IA0517
IA0519
IA0520
IA0521
IA0523
IA0524
IA0525
IA0526
IA0527
IA0528
IA0529
IA0530
IA0531
IA0533
IA0534*	CID+18250
IA0535
IA0536
IA0539
IA0540
IA0541
IA0542
IA0543
IA0544
IA0545*	CID+18287
IA0546
IA0547*	CID+18284
IA0548
IA0549*	CID+18297
IA0550
IA0551
IA0552
IA0553
IA0554
IA0555
IA0556
IA0557
IA0558*	CID+14176
IA0559
IA0560
IA0561
IA0562
IA0563
IA0564	CID+15440
IA0565
IA0566
IA0567
IA0568
IA0569
IA0570
IA0571
IA0572
IA0573
IA0574*	CID+18346
IA0575
IA0576*	CID+18350
IA0577
IA0578
IA0579
IA0581
IA0582
IA0583*	CID+18377
IA0584
IA0585
IA0587
IA0588
IA0589
IA0590
IA0591
IA0592
IA0593
IA0594*	CID+18423
IA0601
IA0602
IA0603
IA0604
IA0605	CID+15426
IA0606
IA0607
IA0608*	CID+14195
IA0609*	CID+17060
IA0610
IA0611
IA0612
IA0613*	CID+18460
IA0614*	CID+18461
IA0615*	CID+18467
IA0616
IA0617
IA0618
IA0619
IA0620
IA0621*	CID+18494
IA0622
IA0623
IA0624*	CID+18492
IA0625
IA0626
IA0628
IA0629
IA0630
IA0631
IA0632
IA0633
IA0634
IA0635*	CID+18524
IA0636
IA0637
IA0638*	CID+14206
IA0639
IA0640
IA0641*	CID+18540
IA0642
IA0644
IA0645
IA0646
IA0647
IA0648	CID+15435
IA0649
IA0650
IA0651
IA0652
IA0653
IA0655
IA0656
IA0657
IA0659
IA0660
IA0661
IA0662
IA0663
IA0664
IA0665	CID+19136
IA0666
IA0667
IA0668
IA0669
IA0670
IA0671
IA0672*	CID+15438
IA0673
IA0674
IA0675
IA0676
IA0677
IA0678
IA0679
IA0680	CID+15441
IA0681*	CID+18669
IA0682
IA0683
IA0684
IA0685S
IA0686
IA0687
IA0688
IA0689
IA0690
IA0691
IA0692	CID+20219
IA0693
IA0694
IA0701
IA0702
IA0703
IA0704
IA0705
IA0706SS
IA0707
IA0708	CID+8630
IA0709
IA0710	CID+14224
IA0711*	CID+18724
IA0712
IA0713
IA0714*	CID+17141
IA0715
IA0716
IA0717
IA0718
IA0719
IA0720
IA0721
IA0722
IA0723
IA0724
IA0725
IA0726
IA0727
IA0728
IA0729
IA0730
IA0731
IA0732
IA0733
IA0734
IA0735
IA0736
IA0737
IA0738
IA0739
IA0740
IA0741
IA0742
IA0743
IA0745
IA0746
IA0747
IA0748
IA0749
IA0750
IA0751
IA0752
IA0753
IA0754
IA0755*	CID+17183
IA0756
IA0757
IA0758
IA0759
IA0760
IA0761
IA0762
IA0763
IA0764
IA0765
IA0766
IA0767*	CID+18910
IA0768
IA0769
IA0770
IA0771
IA0772
IA0773
IA0774
IA0775
IA0776*	CID+18934
IA0777
IA0777S
IA0778
IA0779
IA0780
IA0781
IA0782
IA0783
IA0784
IA0785
IA0786
IA0787
IA0788
IA0789*	CID+18995
IA0790
IA0791*	CID+15430
IA0792
IA0793
IA0794
IA0801
IA0802
IA0803*	CID+19016
IA0804
IA0805
IA0807
IA0808
IA0809
IA0810
IA0811
IA0812
IA0813	CID+19139
IA0814
IA0815
IA0816
IA0817
IA0818
IA0819
IA0820
IA0901
IA0902
IA0903
IA0904
IA0905
IA0906
IA0907
IA0908
IA0909
IA0910
IA0911
IA0912
IA0913
IA0914
IA0915
IA0916
IA0917
IA0918
IA0919
IA0920
IA0921
IA0922
IA0923
IA0924
IA0926
IA0927
IA0928
IA0929
IA0930
IA0932
IA0933
IA0934
IA0935
IA0936
IA0938
IA0939
IA0940
IA0941
IA0942
IA0943
IA0944
IA0945
IA0946
IA0947
IA0948
IA0949
IA0950
IA0951
IA0952
IA0953
IA0954
IA0955
IA0956	CID+15442
IA0957
IA0958
IA0959
IA0960
IA0961SS
IA0962
IA0964
IA0965
IA0966
IA0968
IA0969
IA0970
IA0971
IA0972
IA0973
IA0974
IA0975
IA0976
IA0977
IA0978
IA0979
IA0980
IA0981
IA0982
IA0983
IA0984
IA0985
IA0986
IA0987
IA1003
IA1004
IA1005
IA1006
IA1007
IA1008
IA1009
IA1010
IA1011
IA1012
IA1013
IA1014
IA1015
IA1016
IA1017
IA1018
IA1019
IA1020
IA1021
IA1023
IA1024SS
IA1025
IA1026
IA1027
IA1028
IA1029
IA1030
IA1031
IA1032
IA1033
IA1034
IA1035
IA1036
IA1037
IA1038
IA1039
IA1040
IA1041
IA1042
IA1043
IA1044
IA1045
IA1046
IA1047
IA1048
IA1049
IA1050
IA1051
IA1052
IA1053
IA1054
IA1055
IA1056
IA1057
IA1058
IA1059
IA1060
IA1061
IA1062
IA1063
IA1066
IA1067
IA1068
IA1069
IA1070
IA1072
IA1073
IA1074
IA1075
IA1076
IA1077
IA1078
IA1079
IA1080
IA1082
IA1083
IA1084
IA1085
IA1087
IA1088
IA1089
IA1090
IA1091
IA1092
IA1093
IA1094
IA1101
IA1102
IA1103
IA1104
IA1105
IA1107
IA1108
IA1109
IA1110
IA1111
IA1112
IA1113
IA1114
IA1115
IA1116
IA1117
IA1118
IA1119
IA1120
IA1121
IA1122
IA1124
IA1125
IA1126
IA1127
IA1128
IA1130
IA1131
IA1132
IA1133
IA1134
IA1135
IA1136
IA1137
IA1138
IA1139
IA1140
IA1141
IA1142
IA1143
IA1144
IA1145
IA1146
IA1147
IA1148
IA1149
IA1150
IA1151
IA1152
IA1153
IA1154
IA1155
IA1157
IA1159
IA1160
IA1161
IA1162
IA1163
IA1164
IA1165
IA1166
IA1167
IA1168
IA1169
IA1170
IA1171
IA1172
IA1173
IA1176
IA1177
IA1178
IA1179
IA1180
IA1181
IA1182
IA1183
IA1184
IA1186
IA1187
IA1188
IA1189
IA1190
IA1191
IA1192
IA1193
IA1194
IA1201
IA1202
IA1203
IA1204
IA1205
IA1206
IA1207
IA1208
IA1209
IA1210
IA1211
IA1212
IA1213
IA1214
IA1216
IA1217
IA1218
IA1219
IA1220
IA1221
IA1222
IA1223
IA1224S
IA1225
IA1226
IA1228
IA1229
IA1230
IA1301
IA1302
IA1303
IA1304
IA1305
IA1306
IA1307
IA1308
IA1309
IA1310
IA1311
IA1312
IA1313
IA1314
IA1315
IA1316
IA1317
IA1318
IA1320
IA1321
IA1322
IA1323
IA1324
IA1325
IA1326
IA1327
IA1328
IA1329
IA1330
IA1331
IA1332
IA1334
IA1335
IA1336
IA1337
IA1338
IA1339
IA1340
IA1341
IA1342
IA1343
IA1344
IA1345
IA1347
IA1348
IA1349
IA1350
IA1351
IA1352
IA1353
IA1354
IA1355
IA1356
IA1357
IA1358
IA1359
IA1360
IA1361
IA1362
IA1363
IA1364
IA1365
IA1366
IA1367
IA1368
IA1369
IA1370
IA1371
IA1372
IA1373
IA1374
IA1375
IA1377
IA1378
IA1379
IA1380
IA1382
IA1383
IA1384
IA1385
IA1386
IA1387
IA1388
IA1389
IA1390
IA1392
IA1393
IA1394
IA1401
IA1402
IA1403
IA1404
IA1405
IA1406
IA1407
IA1408
IA1409
IA1410
IA1411
IA1412
IA1413
IA1414
IA1415
IA1416
IA1418
IA1419
IA1420
IA1421
IA1422
IA1423
IA1424
IA1425
IA1426
IA1427
IA1428
IA1429
IA1430
IA1431
IA1432
IA1433S
IA1434
IA1435
IA1436
IA1437
IA1438
IA1439
IA1440
IA1441
IA1442
IA1443
IA1444
IA1445
IA1446
IA1447
IA1448
IA1449
IA1450
IA1451
IA1452
IA1453
IA1454
IA1455
IA1456
IA1457
IA1458
IA1459
IA1461
IA1462
IA1463
IA1464
IA1465
IA1466
IA1467S
IA1468
IA1469
IA1470
IA1471
IA1472
IA1473
IA1474
IA1476
IA1477
IA1478
IA1479
IA1480
IA1481
IA1482
IA1483
IA1484
IA1485
IA1487
IA1488
IA1489
IA1490
IA1491
IA1492
IA1493
IA1494
IA1501
IA1502
IA1503
IA1504
IA1505
IA1506
IA1507
IA1508
IA1509
IA1510
IA1511
IA1513
IA1514
IA1515
IA1516
IA1517
IA1518
IA1519
IA1520
IA1521
IA1522
IA1524
IA1525
IA1526
IA1527
IA1528
IA1530
IA1531
IA1532
IA1533
IA1534
IA1535
IA1536
IA1537
IA1538
IA1539
IA1540
IA1541
IA1542
IA1543
IA1544
IA1545S
IA1546
IA1547
IA1548
IA1549
IA1550
IA1552
IA1553
IA1554
IA1555
IA1557
IA1558
IA1559
IA1560
IA1561
IA1562
IA1601
IA1602
IA1604
IA1605
IA1606
