T1-4933 lì (利)
T1-4934 shān (刪)
T1-4935 páo,bào (刨)
T1-4936 jié (劫)
T1-4937 zhù (助)
T1-4938 nǔ (努)
T1-4939 qǘ (劬)
T1-493A xiá (匣)
T1-493B jí (即)
T1-493C luǎn (卵)
T1-493D lìn (吝)
T1-493E háng,kēng (吭)
T1-493F tuēn (吞)
T1-4940 ú,ǘ (吾)
T1-4941 fǒu,pǐ (否)
T1-4942 chǐ (呎)
T1-4943 bā,ba (吧)
T1-4944 dāi,ái (呆)
T1-4945 è (呃)
T1-4946 ú (吳)
T1-4947 chéng (呈)
T1-4948 lǚ (呂)
T1-4949 jǖn (君)
T1-494A fēn (吩)
T1-494B gào,gù (告)
T1-494C chuēi,chuèi (吹)
T1-494D uěn (吻)
T1-494E xī (吸)
T1-494F shuěn (吮)
T1-4950 chǎo (吵)
T1-4951 nà (吶)
T1-4952 fèi (吠)
T1-4953 hǒu (吼)
T1-4954 iā,xiā (呀)
T1-4955 zī,zhī,qì (吱)
T1-4956 hán,hàn (含)
T1-4957 yín (吟)
T1-4958 yǐn,tīng,tìng,í (听)
T1-4959 cōng,chuāng (囪)
T1-495A kuèn (困)
T1-495B duèn,tuén (囤)
T1-495C hú (囫)
T1-495D fāng,fáng (坊)
T1-495E kēng (坑)
T1-495F zhǐ (址)
T1-4960 tān (坍)
T1-4961 jǖn,yùn (均)
T1-4962 kǎn (坎)
T1-4963 jí,sè (圾)
T1-4964 zuò (坐)
T1-4965 péi,huài,guài,pēi,pī (坏)
T1-4966 qí,yín (圻)
T1-4967 zhuàng (壯)
T1-4968 jiá,jiā,jià (夾)
T1-4969 zhuāng (妝)
T1-496A dù (妒)
T1-496B fáng,fāng (妨)
T1-496C niōu (妞)
T1-496D bǐ (妣)
T1-496E miào (妙)
T1-496F iāo (妖)
T1-4970 ián (妍)
T1-4971 ǘ (妤)
T1-4972 jì (妓)
T1-4973 rèn,rén (妊)
T1-4974 tuǒ (妥)
T1-4975 xiào (孝)
T1-4976 zī (孜)
T1-4977 fú,fū (孚)
T1-4978 bó,bèi (孛)
T1-4979 uán (完)
T1-497A sòng (宋)
T1-497B hóng (宏)
T1-497C gà,jiè (尬)
T1-497D jǘ (局)
T1-497E pì (屁)
T1-4A21 niào (尿)
T1-4A22 uěi,ǐ (尾)
T1-4A23 qí (岐)
T1-4A24 cén (岑)
T1-4A25 chà,chá (岔)
T1-4A26 jí (岌)
T1-4A27 ū,ú (巫)
T1-4A28 xī (希)
T1-4A29 xǜ (序)
T1-4A2A bì (庇)
T1-4A2B chuáng (床)
T1-4A2C tíng (廷)
T1-4A2D nòng,lòng (弄)
T1-4A2E dì,tì (弟)
T1-4A2F tóng (彤)
T1-4A30 xíng (形)
T1-4A31 páng,fǎng (彷)
T1-4A32 ì (役)
T1-4A33 uàng,uáng (忘)
T1-4A34 jì (忌)
T1-4A35 zhì (志)
T1-4A36 rěn (忍)
T1-4A37 chén (忱)
T1-4A38 kuài (快)
T1-4A39 niǒu (忸)
T1-4A3A zhōng,sōng (忪)
T1-4A3B jiè (戒)
T1-4A3C uǒ,ě (我)
T1-4A3D chāo (抄)
T1-4A3E kàng (抗)
T1-4A3F dǒu (抖)
T1-4A40 jì (技)
T1-4A41 fú (扶)
T1-4A42 jüé (抉)
T1-4A43 niǒu (扭)
T1-4A44 bǎ,bà,bǎi (把)
T1-4A45 è (扼)
T1-4A46 zhǎo (找)
T1-4A47 pī (批)
T1-4A48 bān,pān (扳)
T1-4A49 shū (抒)
T1-4A4A chě (扯)
T1-4A4B zhé,shé,zhē (折)
T1-4A4C bàn,fěn (扮)
T1-4A4D tóu (投)
T1-4A4E zhuā,zhāo,chuǎ (抓)
T1-4A4F ì (抑)
T1-4A50 uèn (抆)
T1-4A51 gǎi (改)
T1-4A52 gōng (攻)
T1-4A53 iōu (攸)
T1-4A54 hàn (旱)
T1-4A55 gēng,jīng,gèng (更)
T1-4A56 shù (束)
T1-4A57 lǐ (李)
T1-4A58 xìng (杏)
T1-4A59 cái (材)
T1-4A5A cuēn (村)
T1-4A5B dù (杜)
T1-4A5C zhàng (杖)
T1-4A5D qǐ (杞)
T1-4A5E shān,shā (杉)
T1-4A5F gān (杆)
T1-4A60 gāng,gàng (杠)
T1-4A61 biāo,sháo (杓)
T1-4A62 máng (杗)
T1-4A63 bù (步)
T1-4A64 měi (每)
T1-4A65 qióu (求)
T1-4A66 gǒng (汞)
T1-4A67 shā (沙)
T1-4A68 qìn (沁)
T1-4A69 chén,shěn (沈)
T1-4A6A chén (沉)
T1-4A6B üán (沅)
T1-4A6C pèi (沛)
T1-4A6D uāng (汪)
T1-4A6E jüé (決)
T1-4A6F mù (沐)
T1-4A70 tài (汰)
T1-4A71 duèn (沌)
T1-4A72 mì (汨)
T1-4A73 chōng (沖)
T1-4A74 mò,méi (沒)
T1-4A75 qì (汽)
T1-4A76 uò,ù (沃)
T1-4A77 jí (汲)
T1-4A78 fén (汾)
T1-4A79 biàn (汴)
T1-4A7A háng,hàng (沆)
T1-4A7B uèn (汶)
T1-4A7C hù (沍)
T1-4A7D miǎn (沔)
T1-4A7E bǐ (沘)
T1-4B21 í (沂)
T1-4B22 zào (灶)
T1-4B23 zhuó (灼)
T1-4B24 zāi (災)
