T1-4C72 VNF (妳)
T1-4C73 VLMO (姒)
T1-4C74 VFQ (姅)
T1-4C75 NDBT (孟)
T1-4C76 NDHIO (孤)
T1-4C77 HDND (季)
T1-4C78 JMMF (宗)
T1-4C79 JMYO (定)
T1-4C7A JRLR (官)
T1-4C7B JBM (宜)
T1-4C7C JLW (宙)
T1-4C7D JNIU (宛)
T1-4C7E FBR (尚)
T1-4D21 SUU (屈)
T1-4D22 SJR (居)
T1-4D23 SUG (屆)
T1-4D24 URUP (岷)
T1-4D25 BTU (岡)
T1-4D26 UMMJ (岸)
T1-4D27 UMR (岩)
T1-4D28 ULW (岫)
T1-4D29 OPU (岱)
T1-4D2A HMU (岳)
T1-4D2B JCLB (帘)
T1-4D2C SMBLB (帚)
T1-4D2D LBYR (帖)
T1-4D2E LBHA (帕)
T1-4D2F HALB (帛)
T1-4D30 VELB (帑)
T1-4D31 GTJ (幸)
T1-4D32 ILO (庚)
T1-4D33 IYR (店)
T1-4D34 IODI (府)
T1-4D35 IHPM (底)
T1-4D36 IPRU (庖)
T1-4D37 NEHYM (延)
T1-4D38 NYVI (弦)
T1-4D39 NHIO (弧)
T1-4D3A VEN (弩)
T1-4D3B HOYG (往)
T1-4D3C HOMYM (征)
T1-4D3D HOLLN (彿)
T1-4D3E HODHE (彼)
T1-4D3F MKP (忝)
T1-4D40 LP (忠)
T1-4D41 PHP (忽)
T1-4D42 ONP (念)
T1-4D43 CHP (忿)
T1-4D44 PKB (怏)
T1-4D45 PMYM (怔)
T1-4D46 PGI (怯)
T1-4D47 PID (怵)
T1-4D48 PKLB (怖)
T1-4D49 PEG (怪)
T1-4D4A PHA (怕)
T1-4D4B PIR (怡)
T1-4D4C PHQM (性)
T1-4D4D PSP (怩)
T1-4D4E PLLN (怫)
T1-4D4F PAM (怛)
T1-4D50 IRM (或)
T1-4D51 VMI (戕)
T1-4D52 HSYHS (房)
T1-4D53 HSIK (戾)
T1-4D54 HSHML (所)
T1-4D55 NNQO (承)
T1-4D56 QYT (拉)
T1-4D57 QFQ (拌)
T1-4D58 QYG (拄)
T1-4D59 QRUP (抿)
T1-4D5A QLLN (拂)
T1-4D5B QDJ (抹)
T1-4D5C QSS (拒)
T1-4D5D QSHR (招)
T1-4D5E QDHE (披)
T1-4D5F QMR (拓)
T1-4D60 QIKK (拔)
T1-4D61 QKUS (拋)
T1-4D62 QYR (拈)
T1-4D63 QMFJ (抨)
T1-4D64 QLW (抽)
T1-4D65 QWL (押)
T1-4D66 QRSH (拐)
