FT2181	U+060E7	B167
FT2182	U+06084	B168
FT2184	U+060D3	B17C
FT2185	U+060C6	B17D
FT2187	U+0614A	B18D
FT2188	U+0613D	B18E
FT2189		B19A
FT2190	U+06174	B19B
FT2191	U+06165	B198
FT2192	U+061CA	B1A7
FT2193	U+061F6	B1C0
FT2201	U+0622E	B1D0
FT2202	U+06233	B1D1
FT2203	U+06260	6260
FT2203	U+06260	B1DD
FT2204	U+062CC	B1E6
FT2205	U+06327	B1EA
FT2206	U+06308	B1ED
FT2207S	U+063BE	B204
FT2208	U+03A02	B1FF
FT2209	U+063C4	B207
FT2210	U+06426	B216
FT2212	U+06428	B213
FT2213	U+0640F	B217
FT2214	U+0644E	B224
FT2215S	U+2B77C	B20C
FT2216	U+064DA	B232
FT2216	U+064DA	B233
FT2217	U+064BB	B229
FT2218S	U+064EF	B23E
FT2219S		B240
FT2220	U+064F4	B238
FT2221	U+064F2	B23D
FT2222		B235
FT2223		B231
FT2224	U+06524	B243
FT2226S	U+0655D	B24A
FT2227S	U+065E1	B278
FT2227S	U+065E1	B279
FT2229	U+06667	B29B
FT2230S	U+066A8	66A8
FT2231	U+066B9	BD1B
FT2232S	U+066BC	B2C6
FT2233	U+066DA	B2C9
FT2236		B2C7
FT2237	U+066F7	B286
FT2238	U+06726	B2F1
FT2239	U+0678C	B301
FT2240	U+067B9	B30F
FT2241	U+06829	B31F
FT2243	U+0688F	B32E
FT2244	U+06883	6883
FT2244	U+06883	B331
FT2245	U+06874	B324
FT2246	U+06926	B343
FT2247	U+06954	B35A
FT2248	U+0696E	B338
FT2249S	U+0693D	B34D
FT2250	U+06986	B34F
FT2251	U+06985	B354
FT2252	U+069BB	B378
FT2253	U+06991	B36F
FT2254	U+06A1B	B38D
FT2255	U+069FF	B379
FT2256	U+2B78B	B37A
FT2257	U+06A14	B38E
FT2258	U+06AC2	B3CF
FT2259	U+06AB8	B3BD
FT2260S	U+06AB3	B3C6
FT2260S	U+06AB3	B3C7
FT2261	U+06AAC	B3A9
FT2261	U+06AAC	B3BC
FT2262	U+06ADE	B3C4
FT2262	U+06ADE	B3C5
FT2263		B3BE
FT2266	U+06B47	B3D7
FT2267	U+06B49	B3D9
FT2268	U+06B59	B3DD
FT2269	U+06B54	B3DC
FT2270	U+06B78	B3E8
FT2271	U+06B8D	B3EB
FT2272S	U+06BAF	B3EE
FT2272S	U+06BAF	B3EF
FT2273S	U+06BD3	B3F8
FT2274S	U+09EBE	B3FB
FT2275S	U+06C13	B401
FT2276	U+06C1B	B403
FT2277	U+06C7E	B414
FT2278	U+06CD9	B422
FT2279	U+06D8E	B448
FT2280	U+06DDE	B449
FT2281	U+06DCC	B44A
FT2282	U+06DE8	B43D
FT2283	U+06E72	B467
FT2284	U+06E1D	B45A
FT2285	U+06EAA	B47D
FT2286	U+06EB2	B434
FT2287	U+06ED4	B47E
FT2288	U+06ED5	B485
FT2289	U+06E8F	B47F
FT2290	U+06EA5	B477
FT2291	U+06E89	6E89
FT2293	U+23F7D	B4B6
FT2294	U+06F80	B4DF
FT2301	U+06F6F	B4C2
FT2302S	U+06F82	B4A4
FT2304	U+06FB3	B4C0
FT2305	U+06FD8	B4E0
FT2306S	U+06FF1	B4EB
FT2306S	U+06FF1	B4EC
FT2307	U+06FDB	B4CA
FT2308	U+07001	B4F6
FT2310	U+0701A	B504
FT2311	U+06F74	B4A5
FT2312	U+2404B	B4E1
FT2313	U+240A3	B4E2
FT2314	U+0703E	B505
FT2315	U+070AE	B511
FT2316S	U+07156	B52E
FT2317S	U+242F1	B52F
FT2318	U+071FB	B556
FT2319	U+243D0	B551
FT2320	U+071E0	B552
FT2321	U+071E7	B557
FT2322	U+071F5	B54D
FT2323		B559
FT2324	U+0721B	B55E
FT2325	U+07240	B56C
FT2326	U+07246	B571
FT2327	U+072E1	72E1
FT2327	U+072E1	B57E
FT2328	U+0731C	B582
FT2329	U+09ED8	B58E
FT2330	U+07370	B590
FT2331	U+0737A	B591
FT2332	U+0746F	B5BE
FT2333	U+0745C	B5BF
FT2334	U+07463	B5C7
FT2335	U+0747E	B5CB
FT2336	U+074EE	B5E3
FT2337	U+074F0	B5E4
FT2338	U+07526	7526
FT2338	U+07526	B5F3
FT2339S	U+075B1	B603
FT2340	U+075CA	B604
FT2341	U+07609	B60B
FT2342	U+0761F	B60C
FT2343	U+07627	B60D
FT2344	U+0764E	764E
FT2345S	U+03FB1	B60E
FT2346	U+07662	B617
FT2347	U+07669	B619
FT2348		B615
FT2349	U+07672	B61C
FT2350	U+0768E	768E
FT2350	U+0768E	B628
FT2351S	U+076B0	B62F
FT2352	U+076FB	B646
FT2353	U+07737	B653
FT2354	U+0775B	B656
FT2355	U+07779	B659
FT2356	U+0778E	B65D
FT2357	U+0778B	B65E
FT2358	U+077C7	B663
FT2359	U+07926	B693
FT2360S	U+0788C	B681
FT2361	U+078A3	B682
FT2363	U+07907	B692
FT2364	U+040EF	40EF
FT2365	U+07940	B69C
FT2366	U+07960	B6AE
FT2367	U+07957	B6B0
FT2368	U+0795A	B6B2
FT2369	U+07955	B6C0
FT2370	U+07953	B6B3
FT2371	U+0797A	B6EE
FT2372	U+0797F	B6F2
FT2373	U+0798A	B6FA
FT2374S	U+0799D	B707
FT2375	U+079A7	B715
FT2376	U+079AA	B71C
FT2377	U+079AE	B723
FT2378		B725
FT2379	U+07A0D	B740
FT2380	U+07A20	B744
FT2381	U+07A31	B747
FT2382	U+07A3B	B74F
FT2383S	U+07A62	B764
FT2384	U+07A69	B763
FT2385	U+07A96	B777
FT2386S	U+07ABF	B782
FT2387S	U+09083	B783
FT2387S	U+09083	BD68
FT2388	U+07AD5	B78B
FT2389	U+07AED	B793
FT2390	U+07B4C	B7A7
FT2391	U+07B75	B7AC
FT2392S	U+07B92	B7B4
FT2393	U+07B8F	B7B2
FT2394	U+07BC6	B7BE
FT2401	U+07C13	B7D0
FT2401	U+07C13	B7D1
FT2402	U+07BF7	B7C4
FT2402	U+07BF7	B7C5
FT2403	U+07C27	B7D3
FT2404	U+07C18	B7D4
FT2406	U+07C50	B7E2
FT2407	U+07C58	B7E8
FT2408	U+07C5F	B7E9
FT2409	U+07CB3	7CB3
FT2409	U+07CB3	B7FA
FT2411	U+07CD8	B7FF
FT2412	U+07CDC	B803
FT2416	U+07D46	B815
FT2417S	U+07D73	B829
FT2417S	U+07D73	B82A
FT2418	U+07D8F	B82B
FT2419	U+07DA3	B845
FT2420	U+07DB5	B832
FT2421	U+07DA2	B835
FT2422S	U+07E0A	B84E
FT2423	U+07E1F	B84F
FT2424	U+07E0B	B839
FT2425	U+07E22	B84B
FT2426	U+07E46	B859
FT2427	U+07E48	7E48
FT2428	U+07E3B	B852
FT2429	U+07E3A	B848
FT2430	U+26158	B863
FT2431S	U+07E7D	B869
FT2431S	U+07E7D	B86A
FT2433	U+07FAF	B881
FT2434	U+07FB8	B887
FT2435	U+07FC5	B88B
FT2436	U+07FC6	B88C
FT2437	U+07FCA	B88F
FT2438	U+07FD5	B892
FT2439SS	U+07FE1	B897
FT2440	U+07FE6	B899
FT2441	U+07FE9	B89D
FT2442	U+07FF3	B8A1
FT2443	U+07FF9	B8A3
FT2444	U+08012	B8A9
FT2445S	U+08018	B8AB
FT2446	U+08019	B8AC
FT2447	U+0801C	B8AE
FT2448	U+08021	B8B0
FT2449	U+08028	B8B2
FT2450S		B8BB
FT2451	U+08079	B8C5
FT2452	U+08093	B8CB
FT2453	U+080AD	B2E0
FT2454	U+080D6	B8CE
FT2455	U+08171	8171
FT2455	U+08171	B8E0
FT2456	U+266A4	B8D3
FT2457	U+0817D	817D
FT2458	U+0818A	B8E9
FT2459	U+081A0	B8ED
FT2460	U+081A4	B8EE
FT2461	U+081B8	B8F1
