FT2042	U+05544	[U+05544 U+E0104]
FT2043	U+07422	[U+07422 U+E0104]
FT2044	U+0589C	[U+0589C U+E0103]
FT2045	U+0585A	[U+0585A U+E0104]
FT2047	U+06A61	[U+06A61 U+E0102]
FT2048	U+08C5A	[U+08C5A U+E0102]
FT2050	U+0516B	[U+0516B U+E0103]
FT2053	U+0626E	[U+0626E U+E0102]
FT2056	U+08499	[U+08499 U+E0103]
FT2063	U+08C6B	[U+08C6B U+E0102]
FT2064	U+04ED7	[U+04ED7 U+E0101]
FT2065	U+04EDE	[U+04EDE U+E0102]
FT2067	U+04FD8	[U+04FD8 U+E0102]
FT2068	U+05029	[U+05029 U+E0102]
FT2069	U+05050	[U+05050 U+E0102]
FT2070	U+05048	[U+05048 U+E0102]
FT2071	U+05056	[U+05056 U+E0103]
FT2073	U+05085	[U+05085 U+E0103]
FT2074	U+050CA	[U+050CA U+E0106]
FT2075	U+050DE	[U+050DE U+E0102]
FT2076	U+0513A	[U+0513A U+E0102]
FT2077	U+0513B	[U+0513B U+E0102]
FT2079	U+0516A	[U+0516A U+E0102]
FT2080	U+0516E	[U+0516E U+E0102]
FT2081S	U+051A2	[U+051A2 U+E0102]
FT2084	U+0526A	[U+0526A U+E0102]
FT2086	U+05294	[U+05294 U+E0101]
FT2087	U+05292	[U+05292 U+E0102]
FT2088	U+05271	[U+05271 U+E0102]
FT2089	U+052B5	[U+052B5 U+E0102]
FT2090S	U+052E6	[U+052E6 U+E0102]
FT2091	U+098ED	[U+098ED U+E0102]
FT2092	U+052E0	[U+052E0 U+E0102]
FT2093	U+052F3	[U+052F3 U+E0102]
FT2094	U+0530F	[U+0530F U+E0102]
FT2101S	U+05377	[U+05377 U+E0103]
FT2102	U+053B0	[U+053B0 U+E0102]
FT2103	U+053ED	[U+053ED U+E0102]
FT2104SS	U+05440	[U+05440 U+E0103]
FT2106	U+05429	[U+05429 U+E0102]
FT2108	U+05486	[U+05486 U+E0102]
FT2111	U+05599	[U+05599 U+E0102]
FT2112	U+05527	[U+05527 U+E0101]
FT2113	U+055BB	[U+055BB U+E0100]
FT2114	U+055C5	[U+055C5 U+E0102]
FT2115	U+055D4	[U+055D4 U+E0102]
FT2116	U+0561B	[U+0561B U+E0102]
FT2117	U+055F9	[U+055F9 U+E0102]
FT2119	U+05680	[U+05680 U+E0102]
FT2120	U+0568A	[U+0568A U+E0102]
FT2121	U+056AE	[U+056AE U+E0106]
FT2122	U+056BC	[U+056BC U+E0102]
FT2124	U+056CE	[U+056CE U+E0103]
FT2126S	U+05708	[U+05708 U+E0102]
FT2127	U+05789	[U+05789 U+E0102]
FT2128	U+057D2	[U+057D2 U+E0102]
FT2129	U+05870	[U+05870 U+E0102]
FT2130	U+0589F	[U+0589F U+E0102]
FT2131	U+058AB	[U+058AB U+E0103]
FT2132	U+058BA	[U+058BA U+E0102]
FT2133	U+058B8	[U+058B8 U+E0102]
FT2134	U+058D9	[U+058D9 U+E0102]
FT2135	U+058E5	[U+058E5 U+E0102]
FT2137	U+05958	[U+05958 U+E0102]
FT2138	U+05962	[U+05962 U+E0103]
FT2139	U+05960	[U+05960 U+E0103]
FT2140	U+05969	[U+05969 U+E0102]
FT2142	U+05A6C	[U+05A6C U+E0102]
FT2144	U+05ACB	[U+05ACB U+E0102]
FT2145	U+05AC2	[U+05AC2 U+E0104]
FT2148	U+05B36	[U+05B36 U+E0102]
FT2149	U+05B3E	[U+05B3E U+E0102]
FT2150	U+05B75	[U+05B75 U+E0102]
FT2152	U+05BD0	[U+05BD0 U+E0102]
FT2153	U+05BE4	[U+05BE4 U+E0102]
FT2155	U+05BE5	[U+05BE5 U+E0102]
FT2157	U+05C94	[U+05C94 U+E0102]
FT2158	U+05CBC	[U+05CBC U+E0102]
FT2160	U+05CED	[U+05CED U+E0102]
FT2161	U+05D22	[U+05D22 U+E0102]
FT2162	U+05D76	[U+05D76 U+E0102]
FT2163	U+05D90	[U+05D90 U+E0102]
FT2164	U+05DD3	[U+05DD3 U+E0103]
FT2165	U+05E1A	[U+05E1A U+E0102]
FT2166S	U+05E43	[U+05E43 U+E0103]
FT2167	U+05E64	[U+05E64 U+E0103]
FT2168	U+09EBC	[U+09EBC U+E0102]
FT2169	U+05ED0	[U+05ED0 U+E0105]
FT2171	U+05ED6	[U+05ED6 U+E0102]
FT2175	U+05F09	[U+05F09 U+E0102]
FT2176	U+05F5C	[U+05F5C U+E0102]
FT2177	U+05F56	[U+05F56 U+E0103]
FT2178	U+05F57	[U+05F57 U+E0102]
FT2179	U+05FFF	[U+05FFF U+E0102]
FT2180	U+06026	[U+06026 U+E0102]
FT2181	U+060E7	[U+060E7 U+E0102]
FT2182	U+06084	[U+06084 U+E0102]
FT2184	U+060D3	[U+060D3 U+E0102]
FT2185	U+060C6	[U+060C6 U+E0102]
FT2187	U+0614A	[U+0614A U+E0102]
